,station_id,station_name,station_latitude,station_longitude
18,147.0,Greenwich St & Warren St,40.71542197,-74.01121978
19,3253.0,Bike The Branches - Central Branch,40.67280641227746,-73.96886587142943
21,3219.0,NYCBS Depot - STY,40.729193,-73.97665500000002
22,488.0,W 39 St & 9 Ave,40.75645824,-73.99372222
23,3257.0,Adventures NYC,40.77376867022874,-73.97116988897324
24,3248.0,LPI Facility,0.0,0.0
26,3111.0,Norman Ave & Leonard St - 2,40.7258483,-73.95064893
27,511.0,E 14 St & Avenue B,40.72938685,-73.97772429
28,3445.0,Riverside Dr & W 89 St,40.791811715010965,-73.9786022901535
32,3470.0,Expansion Tech Station,40.669801930896156,-73.994904756546
33,3353.0,Reed St & Van Brunt St,40.6747844,-74.01612847
34,348.0,W Broadway & Spring St,40.72490985,-74.00154702
35,395.0,Bond St & Schermerhorn St,40.68807003,-73.98410637
36,3633.0,333 Johnson TEST 1,0.0,0.0
37,384.0,Fulton St & Washington Ave,40.683048,-73.964915
39,3480.0,WS Don't Use,0.0,0.0
42,444.0,Broadway & W 24 St,40.7423543,-73.98915076
43,153.0,E 40 St & 5 Ave,40.752062306999996,-73.9816324043
44,3436.0,Greenwich St & Hubert St,40.721319,-74.010065
45,3464.0,W 37 St & Broadway,40.752270938374096,-73.98770570755005
47,3476.0,Norman Ave & Leonard St,40.725769967272136,-73.9507395029068
50,3636.0,Expansion Warehouse 333 Johnson Ave,40.707731483954696,-73.93452286720277
52,3428.0,8 Ave & W 16 St,40.740983,-74.00170200000002
53,3550.0,Convent Ave & W 129 St,40.81413,-73.953005
69,3548.0,Pacific St & Bedford Ave,40.6777747,-73.9529322
809,3215.0,Central Ave,40.7467299,-74.0492509
810,3197.0,North St,40.75255900000001,-74.044725
0,428.0,E 3 St & 1 Ave,40.72467721,-73.98783413
2,3594.0,Montgomery St & Franklin Ave OLD,40.6661649,-73.95934840000002
3,430.0,York St & Jay St,40.7014851,-73.98656928
4,3238.0,E 80 St & 2 Ave,40.77391390238118,-73.9543953537941
5,449.0,W 52 St & 9 Ave,40.76461837,-73.98789473
6,3487.0,Prototype Lab Motivate Headquarters,40.65659567482039,-74.00849282741547
7,3642.0,E 98 St & Lexington Ave,40.787285198609524,-73.95012259483337
8,3672.0,Apache,40.669767091850034,-73.99474382400513
9,152.0,Warren St & Church St,40.71473993,-74.00910627
11,3643.0,E 41 St & 5 Ave,40.75272201381188,-73.98123621940613
12,3103.0,N 11 St & Wythe Ave,40.72153267,-73.95782357
13,3224.0,W 13 St & Hudson St,40.73997354103409,-74.00513872504234
14,3325.0,E 95 St & 3 Ave,40.7849032,-73.950503
15,3644.0,Van Dyke St & Van Brunt St,40.67581622522832,-74.01488184928894
16,3685.0,Prospect Park - 5 Year Anniversary Celebration,40.66065236872916,-73.9645904302597
17,527.0,E 33 St & 2 Ave,40.744023,-73.976056
18,2001.0,Sands St & Navy St,40.699773,-73.979927
