,Unnamed: 0,Unnamed: 1,Unnamed: 2,tripduration,tripduration.1
0,,,,len,mean
1,year,start station id,end station id,,
69,2014,72,363,4,1642.75
70,2014,72,367,6,977.1666667
71,2014,72,368,1,1205
72,2014,72,369,1,1725
73,2014,72,375,5,1443.8
74,2014,72,377,5,1622.2
75,2014,72,379,3,592
76,2014,72,380,4,208.5
77,2014,72,382,4,409.75
78,2014,72,383,2,1559.5
79,2014,72,387,1,754
80,2014,72,388,2,638.5
81,2014,72,393,1,957
82,2014,72,401,1,1997
83,2014,72,402,2,1491.5
84,2014,72,404,9,1126.444444
85,2014,72,405,6,863
86,2014,72,410,1,1899
87,2014,72,411,4,2280
88,2014,72,422,2,1400
89,2014,72,423,1,716
90,2014,72,426,12,1586
91,2014,72,427,1,2139
92,2014,72,428,1,2116
93,2014,72,433,2,1520
94,2014,72,434,3,964.3333333
95,2014,72,435,2,1028
96,2014,72,442,10,844.3
97,2014,72,444,3,799.6666667
98,2014,72,446,15,751.7333333
99,2014,72,447,23,335.7826087
100,2014,72,448,4,455
101,2014,72,449,8,293.125
102,2014,72,450,20,388.9
103,2014,72,453,2,799.5
104,2014,72,454,1,893
105,2014,72,455,1,501
106,2014,72,456,2,655
107,2014,72,457,4,471.5
108,2014,72,458,4,700.5
109,2014,72,459,7,860.1428571
110,2014,72,461,3,1773
111,2014,72,462,26,874.6538462
112,2014,72,463,11,1138
113,2014,72,464,3,797
114,2014,72,465,6,640.5
115,2014,72,466,4,826.75
116,2014,72,468,4,775.25
117,2014,72,469,13,467.8461538
118,2014,72,470,2,3502
119,2014,72,472,8,933.875
120,2014,72,474,2,935.5
121,2014,72,476,1,1487
122,2014,72,477,3,592.6666667
123,2014,72,478,12,316.8333333
124,2014,72,479,21,399.5238095
125,2014,72,482,1,1251
126,2014,72,483,1,397
127,2014,72,484,3,808.6666667
128,2014,72,487,1,1266
129,2014,72,488,47,456.2765957
130,2014,72,489,3,723
131,2014,72,490,15,770.7333333
132,2014,72,492,5,867.4
133,2014,72,493,7,691
134,2014,72,494,14,324.1428571
135,2014,72,495,3,255
136,2014,72,496,2,1454
137,2014,72,497,3,1099.666667
138,2014,72,498,6,793.3333333
139,2014,72,499,9,614.1111111
140,2014,72,500,20,421.5
141,2014,72,503,2,1307.5
142,2014,72,504,1,1181
143,2014,72,505,1,990
144,2014,72,507,7,1425.142857
145,2014,72,508,7,195.1428571
146,2014,72,509,3,1411
147,2014,72,510,10,468.1
148,2014,72,511,2,1150.5
149,2014,72,512,2,1622.5
150,2014,72,513,7,419.7142857
151,2014,72,514,29,318.1724138
152,2014,72,515,5,385
153,2014,72,517,2,859
154,2014,72,518,1,440
155,2014,72,519,9,838.3333333
156,2014,72,520,31,637.2258065
157,2014,72,521,21,552.6190476
158,2014,72,522,26,688.8846154
159,2014,72,523,8,821.375
160,2014,72,524,6,642
161,2014,72,525,11,515.0909091
162,2014,72,528,1,1958
163,2014,72,529,21,483.6666667
164,2014,72,533,2,691
165,2014,72,537,5,1145
166,2014,72,538,9,664.7777778
167,2014,72,540,3,1591
168,2014,72,546,2,2475.5
169,2014,72,2003,3,1833.666667
170,2014,72,2006,2,622.5
171,2014,72,2008,2,1903.5
172,2014,72,2012,2,1165.5
173,2014,72,2017,1,1059
174,2014,72,2021,3,557.6666667
175,2014,72,2023,4,759.25
176,2014,72,3002,1,1747
177,2014,79,72,3,1465
178,2014,79,79,9,779.4444444
179,2014,79,82,3,384.6666667
180,2014,79,116,1,1210
181,2014,79,127,3,1046.333333
182,2014,79,128,9,469.1111111
183,2014,79,137,1,1918
184,2014,79,146,28,189.25
185,2014,79,147,23,254.826087
186,2014,79,151,11,466.3636364
